latitude,longitude,CLUSTER
-3.74136256057,-38.496800554,7
-3.7417566234,-38.5937456949,13
-3.72558030003,-38.5900874,-1
-3.82059349674,-38.5578189213,23
-3.73065426903,-38.5443843072,16
-3.78705105003,-38.4931595,1
-3.82059349674,-38.5578189213,23
-3.81792050003,-38.5395449,21
-3.76342363343,-38.5809221988,0
-3.78350526315,-38.4962839309,1
-3.75500435003,-38.5660537,3
-3.83234925003,-38.597676,-1
-3.75568135003,-38.5386847,30
-3.80378510003,-38.5632298,-1
-3.71752315003,-38.5517599,-1
-3.75619328837,-38.5653174668,3
-3.75698130003,-38.56078,3
-3.83342815003,-38.5692433,22
-3.78995435003,-38.4734709,9
-3.77886315003,-38.5492866,15
-3.73063465073,-38.5443647303,16
-3.75494995149,-38.5659793597,3
-3.7851006677,-38.4961640434,1
-3.79857805003,-38.4944131,12
-3.75601040271,-38.5885354406,0
-3.82041645003,-38.5574986,23
-3.73643120003,-38.5623152,-1
-3.78376330003,-38.5639345,10
-3.80702141494,-38.5774951331,18
-3.81792050003,-38.5395449,21
-3.79367815003,-38.49062,12
-3.76343031844,-38.5809243281,0
-3.75491935003,-38.5659516,3
-3.79789120003,-38.5862653,24
-3.74107074083,-38.5359592046,25
-3.81574735003,-38.4790175,-1
-3.74107074083,-38.5359592046,25
-3.74107074083,-38.5359592046,25
-3.74107074083,-38.5359592046,25
-3.79873135003,-38.4946313,12
-3.75392145003,-38.5971114,0
-3.75579338883,-38.5883998609,0
-3.78491815003,-38.4925416,1
-3.80702127749,-38.5774961288,18
-3.78797835003,-38.5058439,1
-3.78023074242,-38.563392539,10
-3.73742435003,-38.577408,-1
-3.76632810003,-38.5439367,28
-3.81792062949,-38.5395447202,21
-3.73064297858,-38.544367232,16
-3.83465083336,-38.463475,17
-3.7851715487,-38.4961339263,1
-3.82089910003,-38.5577974,23
-3.81792065003,-38.5395449,21
-3.77879995361,-38.5492978655,15
-3.75922130003,-38.60037,26
-3.75491210003,-38.5659361,3
-3.79870645003,-38.4945954,12
-3.80702175503,-38.5775017001,18
-3.79376243613,-38.4905874238,12
-3.79789120003,-38.5862653,24
-3.81745722536,-38.5962856714,11
-3.75723040003,-38.5595438,3
-3.78994540003,-38.4735204,9
-3.81372407976,-38.5956587854,11
-3.75922130003,-38.60037,26
-3.82775922935,-38.5551942543,-1
-3.76006430003,-38.5422955,5
-3.80702101995,-38.5775029094,18
-3.82543766336,-38.4666743621,17
-3.78977210003,-38.4736281,9
-3.75594520003,-38.5884539,0
-3.75492445003,-38.5659064,3
-3.79789120003,-38.5862653,24
-3.73064476113,-38.5443670408,16
-3.75324458711,-38.5489548173,2
-3.75284815003,-38.5819866,0
-3.78785392859,-38.5059411437,1
-3.75543665003,-38.5627866,3
-3.75324640539,-38.5489533252,2
-3.78996025003,-38.4735142,9
-3.76171693192,-38.5442717406,5
-3.80701899326,-38.5775031801,18
-3.74542810003,-38.5436014,27
-3.79397751471,-38.490644901,12
-3.76519620003,-38.548072,28
-3.7654765972,-38.5770095345,0
-3.82547756447,-38.4667156047,17
-3.76519620003,-38.548072,28
-3.75490305003,-38.5659141,3
-3.85701582546,-38.5859260453,-1
-3.76519620003,-38.548072,28
-3.76188645003,-38.5803606,0
-3.75489940003,-38.5659007,3
-3.78993050003,-38.4734732,9
-3.77167125003,-38.5777361,0
-3.78789392021,-38.5059307759,1
-3.78517935003,-38.4961117,1
-3.75468540003,-38.553862,3
-3.73065751036,-38.5443700386,16
-3.74543530003,-38.5435657,27
-3.79396484021,-38.4906007062,12
-3.79869740454,-38.4945184604,12
-3.74873217131,-38.6013974903,-1
-3.75620130003,-38.5652716,3
-3.73066646513,-38.54436681,16
-3.74167952376,-38.5934724161,13
-3.75324806277,-38.5489517912,2
-3.75466922389,-38.5858653236,0
-3.72615345003,-38.5838763,-1
-3.79953235003,-38.4942301,12
-3.74556725003,-38.5433337,27
-3.71494451677,-38.4657153643,-1
-3.77154125003,-38.5705183,0
-3.71757828913,-38.5953527618,8
-3.78996284564,-38.4734845821,9
-3.83917645003,-38.5630453,4
-3.81072366266,-38.5394903266,19
-3.75488540003,-38.5659197,3
-3.81369749213,-38.5956815615,11
-3.81072337258,-38.5394911414,19
-3.74557135003,-38.5433227,27
-3.7416797696,-38.5934713972,13
-3.79396630003,-38.49069,12
-3.72970130003,-38.5375666,-1
-3.78993740003,-38.4734983,9
-3.77877362513,-38.5489403438,15
-3.763490569,-38.5808722995,0
-3.73066757217,-38.5443665311,16
-3.75324774319,-38.54895222,2
-3.78222505003,-38.5051598,1
-3.78791625003,-38.5059034,1
-3.7528200471,-38.5792145427,0
-3.75576053212,-38.588529247,0
-3.7528200471,-38.5792145427,0
-3.75486730003,-38.5658944,3
-3.73058627223,-38.5133028621,-1
-3.79402130003,-38.490575,12
-3.71010925003,-38.5873154,-1
-3.73066997777,-38.5443675574,16
-3.81371128877,-38.5956915796,11
-3.78994015003,-38.4734976,9
-3.72868157971,-38.5972264749,14
-3.74506640003,-38.4707517,-1
-3.78172825003,-38.4982165,1
-3.75624673573,-38.5652311702,3
-3.75324779272,-38.5489526124,2
-3.73539605003,-38.5322284,-1
-3.81072404953,-38.5394914209,19
-3.76349307626,-38.5808709499,0
-3.79963002556,-38.4942158918,12
-3.77256110003,-38.5686311,0
-3.79961745394,-38.4941962998,12
-3.82804130003,-38.5613486,4
-3.74390050003,-38.5093817,-1
-3.75585040003,-38.5884833,0
-3.82122501214,-38.5640127259,-1
-3.73797415003,-38.5908359,13
-3.81371183089,-38.595692249,11
-3.78990716552,-38.4735576299,9
-3.75613630003,-38.565275,3
-3.78172825003,-38.4982165,1
-3.80168445003,-38.4831266,12
-3.77236130003,-38.4852237,-1
-3.77839190799,-38.5781112268,0
-3.82122501214,-38.5640127259,-1
-3.80168445003,-38.4831266,12
-3.75494100003,-38.5659497,3
-3.72977217131,-38.5376241903,-1
-3.78690325003,-38.4879263,1
-3.76348070078,-38.5808628477,0
-3.75580410003,-38.5386064,30
-3.81371159034,-38.5956933918,11
